,BJD,rv,cc,mean_wv_shift
91,2455643.63703476,-9450.000000000024,562904769.8586543,-0.16855651304930763
92,2455632.73071799,-9740.000000000018,440100585.8747625,-0.17373093935347977
93,2454779.87318453,-9490.000000000024,661080713.9414891,-0.16927997407089407
94,2454647.50597238,-9550.000000000022,703915359.9197804,-0.1703317947331746
95,2454523.7298872,-9480.000000000024,751616785.2405881,-0.16909605721486276
96,2455653.70543142,-9420.000000000025,655119286.3477179,-0.16801966794423318
97,2455627.78889916,-9480.000000000024,363012273.5413674,-0.16909447607105269
98,2454141.7538716,-9490.000000000024,1225748804.8954208,-0.16927807469681094
99,2455591.75724616,-9490.000000000024,421052192.6405961,-0.1692787078215053
100,2455660.48556554,-9620.00000000002,233411081.8101594,-0.17158547448273334
101,2455639.72273397,-9450.000000000024,618567252.4975102,-0.1685569858913174
102,2455617.65438007,-9480.000000000024,379071423.2078124,-0.16909605721486268
103,2455619.72522614,-9480.000000000024,433266458.72454226,-0.16909621532924368
104,2455224.66867138,-9170.000000000031,733589849.3064615,-0.163571422800359
105,2454530.71158562,-9480.000000000024,1301673213.0783072,-0.16909479229981472
106,2452990.81450986,-9500.000000000024,274511244.2843782,-0.16946152589481564
107,2455687.4758675,-9560.000000000022,407083761.2758151,-0.17051207170589133
108,2455629.73216438,-10180.00000000001,533374074.387574,-0.18157908120231245
109,2454616.54398222,-9550.000000000022,529366597.56469035,-0.17033195401510404
110,2454913.71135484,-9450.000000000024,684348687.7053246,-0.1685561978213011
111,2455584.85474601,-9500.000000000024,376342566.93016434,-0.16945772314362653
112,2455247.75688833,-9480.000000000024,490990854.4231356,-0.1690971640155297
113,2455239.75676411,-9490.000000000024,926848194.7569268,-0.16927680844742216
114,2455234.66313346,-9490.000000000024,316633850.7842564,-0.1692769667285957
115,2453051.74926961,-9480.000000000024,249861010.78299886,-0.1690984289305776
116,2455645.56533686,-9440.000000000024,383943576.34751827,-0.16837766841110705
117,2454800.78609111,-9500.000000000024,708459515.2690328,-0.16946025831108594
118,2455686.52080875,-9560.000000000022,418536372.3910962,-0.1705117528084471
119,2454853.86463752,-9800.000000000016,600618149.0392226,-0.1748095215031946
120,2454529.66626299,-9480.000000000024,804439617.289286,-0.16909479229981467
121,2455589.87513904,-9490.000000000024,390356189.05390275,-0.16927823297798456
122,2455238.82393386,-9490.000000000024,949973071.0854783,-0.16927744157211655
123,2454569.58882004,-9500.000000000024,732416684.8815986,-0.1694445719624309
124,2455219.7667681,-9500.000000000024,739759816.2362058,-0.16945819848752522
125,2454521.6752909,-9480.000000000024,693606699.9211226,-0.16909637344362474
