,I_CaII,I_CaII_Rneg,I_CaII_err,I_Ha06,I_Ha06_Rneg,I_Ha06_err,I_NaI,I_NaI_Rneg,I_NaI_err,SNR,bjd,file,instr,obj,rv
28,0.14328252023466415,0.0,0.0004122440752415317,0.11614244852292598,0.0,0.0001721193777953612,0.1815636643336523,0.0,0.0002335321067056701,165.15,2455141.49537462,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-23T11:03:43.233.fits,HARPS,HD192310,-54192.999999999985
29,0.15849485485571332,0.0,0.000238702943590653,0.1187187244874983,0.0,8.879285629398715e-05,0.18521540538721434,0.0,0.00011832093644470427,326.85,2456191.54210328,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-26T16:53:11.243.fits,HARPS,HD192310,-54192.999999999985
30,0.15085587832960654,0.0,0.00023058803571820486,0.11728010697446768,0.0,9.428347642793743e-05,0.18389481141218847,0.0,0.00012856515622746337,304.45,2455037.75982895,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-23T11:02:23.713.fits,HARPS,HD192310,-54192.999999999985
31,0.17984941679196398,0.0,0.00036939541904379934,0.1211146496033693,0.0,0.00012987180470557834,0.1828797960443385,0.0,0.00017805745365313648,222.3,2453273.55580348,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-01T10:20:41.030.fits,HARPS,HD192310,-54192.999999999985
32,0.15102283627557445,0.0,0.00022410229972500797,0.11712067159410967,0.0,8.653021408354894e-05,0.18326025542775273,0.0,0.00011884899249188961,322.65,2455037.82735179,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-23T11:03:47.907.fits,HARPS,HD192310,-54192.999999999985
33,0.17569269817603206,0.0,0.00025621622538455507,0.1218823966635562,0.0,9.151525684170239e-05,0.19325231444376387,0.0,0.00011941189894290384,355.65,2457631.6900406,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2016-09-01T01:03:10.382.fits,HARPS,HD192310,-54192.999999999985
34,0.1957317373343394,0.0,0.0005465157259871402,0.12136528655552342,0.0,0.00019364925199211807,0.17973948762540565,0.0,0.000264194200472896,153.95,2453484.90473281,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-02T10:00:08.583.fits,HARPS,HD192310,-54192.999999999985
36,0.14796554019917643,0.0,0.00024203841351785538,0.11683047885018355,0.0,0.00012131841077837024,0.18557003334389635,0.0,0.00015973455574514218,264.1,2455404.71604117,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-24T09:42:49.140.fits,HARPS,HD192310,-54192.999999999985
37,0.14401691034236255,0.0,0.0002368427829138589,0.11651414344456744,0.0,8.229610532628238e-05,0.18319113251043245,0.0,0.0001100331612775325,344.2,2455836.5546205,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-25T15:37:13.980.fits,HARPS,HD192310,-54192.999999999985
38,0.17123203167871442,0.0,0.0004835478668200089,0.12113453816089698,0.0,0.00016481809965844426,0.18482267285704945,0.0,0.0002200127297163477,167.65,2456400.89851467,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-06T10:07:18.847.fits,HARPS,HD192310,-54192.999999999985
39,0.19234239417798984,0.0,0.00045459509025946984,0.12385829140151439,0.0,0.00014113886625760418,0.1932112692408038,0.0,0.00018600538261530488,214.35,2457199.88553598,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2015-06-26T23:55:29.007.fits,HARPS,HD192310,-54192.999999999985
