,I_CaII,I_CaII_Rneg,I_CaII_err,I_Ha06,I_Ha06_Rneg,I_Ha06_err,I_NaI,I_NaI_Rneg,I_NaI_err,actin_ver,bjd,file,instr,rv
29,0.4433735131511949,0.0,0.0016438264390228453,0.16068651395688743,0.0,0.00026904679603302996,0.11548265293467425,0.0,0.0002611795295614391,2.0_beta_11,2454776.86402872,average_2008-11-06_s1d_A.fits,test,-9490.000000000024
30,0.3986410354143108,0.0,0.0017255177706293596,0.15997042591471736,0.0,0.00029952743967330884,0.11544149083782423,0.0,0.0002878982035172704,2.0_beta_11,2455233.81365836,average_2008-11-07_s1d_A.fits,test,-9490.000000000024
31,0.4023832475441744,0.0,0.001546012371027514,0.15980137261148464,0.0,0.000274616386577694,0.11535246015132289,0.0,0.0002613907137130292,2.0_beta_11,2455232.83762698,average_2008-11-08_s1d_A.fits,test,-9490.000000000024
32,0.43872932173001783,0.0,0.0012697058985672782,0.16123788117736143,0.0,0.0002155457324448745,0.11611187375541568,0.0,0.000208310509954842,2.0_beta_11,2454779.87318453,average_2008-11-09_s1d_A.fits,test,-9490.000000000024
33,0.4286540660228519,0.0,0.0015744101037716614,0.16018059267025914,0.0,0.00026129600297699257,0.11648568645438682,0.0,0.0002554438806073958,2.0_beta_11,2454780.87114101,average_2008-11-10_s1d_A.fits,test,-9490.000000000024
34,0.43080266042464266,0.0,0.0014337350590851458,0.1624244806524519,0.0,0.0002440837959664153,0.11486888963951065,0.0,0.0002340170726222249,2.0_beta_11,2454799.82986427,average_2008-11-29_s1d_A.fits,test,-9500.000000000024
35,0.4306995286672662,0.0,0.0012208486613440467,0.16155220207789134,0.0,0.00020844889501478372,0.11542083180711478,0.0,0.00020042052711259162,2.0_beta_11,2454800.78609111,average_2008-11-30_s1d_A.fits,test,-9500.000000000024
36,0.4480827488186468,0.0,0.0016421482219442834,0.1637731488932247,0.0,0.0002634204854478026,0.11609379601442907,0.0,0.000252379142963373,2.0_beta_11,2454884.60115495,average_2008-12-01_s1d_A.fits,test,-9480.000000000024
37,0.4316960694394443,0.0,0.0011698475914425845,0.16193427416622264,0.0,0.00020203566118406644,0.11494006563025044,0.0,0.00019295136665784183,2.0_beta_11,2454802.79498657,average_2008-12-02_s1d_A.fits,test,-9500.000000000024
38,0.4398130401736482,0.0,0.0013012793811048315,0.16178090011438626,0.0,0.00023605029212360609,0.11553583625349594,0.0,0.0002248558383863829,2.0_beta_11,2454807.86477811,average_2008-12-03_s1d_A.fits,test,-9500.000000000024
39,0.4572830145793383,0.0,0.00140071685028953,0.1645530043176633,0.0,0.0002305572458975971,0.11358552118007065,0.0,0.00021621481309487767,2.0_beta_11,2454851.85543045,average_2008-12-04_s1d_A.fits,test,-9490.000000000024
40,0.43540215538686167,0.0,0.001577210288019612,0.1626028805655065,0.0,0.0002722122231078793,0.11544268395864477,0.0,0.00026022336910037946,2.0_beta_11,2454805.79096924,average_2008-12-05_s1d_A.fits,test,-9500.000000000024
41,0.43717161088544476,0.0,0.0014309619794936341,0.1625363977116399,0.0,0.00023921375816130858,0.11514777165690074,0.0,0.00023092557771422207,2.0_beta_11,2454806.85649805,average_2008-12-06_s1d_A.fits,test,-9800.000000000016
42,0.4398130401736482,0.0,0.0013012793811048315,0.16178090011438626,0.0,0.00023605029212360609,0.11553583625349594,0.0,0.0002248558383863829,2.0_beta_11,2454807.86477811,average_2008-12-07_s1d_A.fits,test,-9500.000000000024
43,0.4379835718919729,0.0,0.0014797046673465269,0.1626263597324092,0.0,0.0002521003356943185,0.11522939316440721,0.0,0.00024074218843688999,2.0_beta_11,2454804.8714334,average_2009-01-16_s1d_A.fits,test,-9500.000000000024
44,0.47962943333502006,0.0,0.0013132027800660923,0.16597335785700418,0.0,0.00021525513329996612,0.11688030085048313,0.0,0.00020515256440310233,2.0_beta_11,2454521.6752909,average_2009-01-17_s1d_A.fits,test,-9480.000000000024
45,0.47236845417440687,0.0,0.0014235601328427127,0.16399766113962544,0.0,0.00023434032003736768,0.11663913779019472,0.0,0.00022418581908173121,2.0_beta_11,2454571.56813263,average_2009-01-18_s1d_A.fits,test,-9520.000000000022
46,0.43717161088544476,0.0,0.0014309619794936341,0.1625363977116399,0.0,0.00023921375816130858,0.11514777165690074,0.0,0.00023092557771422207,2.0_beta_11,2454806.85649805,average_2009-01-19_s1d_A.fits,test,-9800.000000000016
47,0.4626663780212472,0.0,0.0010161902787236428,0.16317192165377092,0.0,0.0001579427213538109,0.11569280065861591,0.0,0.00015318761607602268,2.0_beta_11,2454141.7538716,average_2009-01-20_s1d_A.fits,test,-9490.000000000024
